fname,label
00063640.wav,Cowbell Computer_keyboard Trumpet
0013a1db.wav,Violin_or_fiddle Flute Cowbell
002bb878.wav,Bass_drum Fireworks Gunshot_or_gunfire
002d392d.wav,Double_bass Bass_drum Cello
00326aa9.wav,Oboe Clarinet Flute
0038a046.wav,Knock Bass_drum Burping_or_eructation
003995fa.wav,Squeak Fireworks Flute
005ae625.wav,Gong Acoustic_guitar Electric_piano
007759c4.wav,Clarinet Flute Bark
008afd93.wav,Saxophone Clarinet Flute
00a161c0.wav,Cello Double_bass Clarinet
00a7a2f6.wav,Clarinet Saxophone Flute
00ae03f6.wav,Chime Harmonica Violin_or_fiddle
00b2404e.wav,Cello Violin_or_fiddle Double_bass
00beb030.wav,Clarinet Cello Oboe
00c4d5b8.wav,Acoustic_guitar Double_bass Cello
00c92c05.wav,Gong Acoustic_guitar Electric_piano
00ccf065.wav,Bass_drum Double_bass Computer_keyboard
00d0ab77.wav,Clarinet Oboe Saxophone
00dffe3a.wav,Bass_drum Double_bass Hi-hat
00e33205.wav,Clarinet Saxophone Flute
00e7ed07.wav,Flute Violin_or_fiddle Clarinet
00eac343.wav,Clarinet Electric_piano Shatter
00f2f692.wav,Hi-hat Gong Violin_or_fiddle
0102a895.wav,Cello Saxophone Double_bass
010a0b3a.wav,Shatter Keys_jangling Tambourine
010eed01.wav,Trumpet Fart Writing
01115622.wav,Shatter Keys_jangling Tambourine
01198b7e.wav,Clarinet Oboe Saxophone
01207ce5.wav,Hi-hat Snare_drum Tearing
0137bfba.wav,Cough Laughter Squeak
014eb52e.wav,Flute Trumpet Clarinet
01608fa3.wav,Bass_drum Double_bass Knock
0169348e.wav,Clarinet Flute Saxophone
016e52da.wav,Flute Violin_or_fiddle Hi-hat
0183b482.wav,Acoustic_guitar Electric_piano Gong
0185de6b.wav,Acoustic_guitar Fart Electric_piano
01a5a2a3.wav,Bark Cough Fart
01aed32a.wav,Acoustic_guitar Electric_piano Gong
01afccc5.wav,Acoustic_guitar Snare_drum Violin_or_fiddle
01b4cdb5.wav,Acoustic_guitar Snare_drum Electric_piano
01b85217.wav,Flute Clarinet Saxophone
01bb344f.wav,Acoustic_guitar Electric_piano Trumpet
01bede12.wav,Trumpet Flute Oboe
01c9d6d3.wav,Gong Electric_piano Chime
01e628cb.wav,Clarinet Saxophone Flute
01e6e112.wav,Squeak Fart Telephone
01e99e2d.wav,Violin_or_fiddle Cello Trumpet
01eccb6e.wav,Clarinet Flute Saxophone
01f27f99.wav,Bus Squeak Computer_keyboard
01f29edb.wav,Flute Clarinet Trumpet
01f9883e.wav,Acoustic_guitar Tearing Flute
01fd22ba.wav,Bass_drum Double_bass Snare_drum
01fe4a01.wav,Bus Fireworks Writing
02107093.wav,Electric_piano Acoustic_guitar Glockenspiel
02182ebd.wav,Hi-hat Snare_drum Bass_drum
02198549.wav,Tambourine Hi-hat Computer_keyboard
0220d48a.wav,Bass_drum Knock Snare_drum
02210ee7.wav,Trumpet Flute Clarinet
022170df.wav,Clarinet Saxophone Flute
023431b2.wav,Harmonica Trumpet Violin_or_fiddle
023e7db3.wav,Flute Saxophone Clarinet
023eab1f.wav,Double_bass Cello Flute
02482fdc.wav,Acoustic_guitar Electric_piano Double_bass
024e45b1.wav,Cello Violin_or_fiddle Double_bass
026820e6.wav,Cough Writing Drawer_open_or_close
02697329.wav,Bass_drum Double_bass Knock
027a8b14.wav,Hi-hat Finger_snapping Snare_drum
027dbe3e.wav,Electric_piano Bass_drum Double_bass
027f06cc.wav,Squeak Meow Bass_drum
028278f0.wav,Trumpet Acoustic_guitar Violin_or_fiddle
028db587.wav,Double_bass Cello Knock
02960f07.wav,Tearing Scissors Finger_snapping
0298b2c6.wav,Flute Saxophone Oboe
02a0eb3c.wav,Flute Snare_drum Squeak
02ad476f.wav,Squeak Laughter Fireworks
02af55f6.wav,Acoustic_guitar Electric_piano Gong
02c3af87.wav,Trumpet Oboe Saxophone
02c46d0b.wav,Acoustic_guitar Trumpet Flute
02c6f112.wav,Cello Violin_or_fiddle Double_bass
02cb4d01.wav,Bass_drum Knock Gong
02d5dc55.wav,Bass_drum Knock Snare_drum
02d9b93c.wav,Flute Saxophone Harmonica
02df943b.wav,Bass_drum Knock Double_bass
02e99b5e.wav,Cello Clarinet Saxophone
02f8d82c.wav,Trumpet Saxophone Oboe
02fb6c5b.wav,Knock Bass_drum Tearing
0300b76b.wav,Applause Acoustic_guitar Cello
0303e3a5.wav,Double_bass Bass_drum Cello
03079bb2.wav,Scissors Computer_keyboard Shatter
030bacc6.wav,Drawer_open_or_close Squeak Knock
030db750.wav,Telephone Chime Harmonica
0310089a.wav,Cowbell Flute Microwave_oven
0316ff65.wav,Bass_drum Knock Snare_drum
03199dbe.wav,Cello Double_bass Acoustic_guitar
031b6d8f.wav,Flute Saxophone Clarinet
03319789.wav,Cowbell Violin_or_fiddle Flute
033a0cbe.wav,Bass_drum Double_bass Knock
0345130c.wav,Trumpet Clarinet Saxophone
034b1b41.wav,Flute Clarinet Saxophone
034c1c69.wav,Flute Trumpet Saxophone
035e420f.wav,Cowbell Hi-hat Tambourine
036c1697.wav,Acoustic_guitar Snare_drum Saxophone
036f228c.wav,Clarinet Oboe Trumpet
03786473.wav,Flute Squeak Clarinet
037e7b6f.wav,Clarinet Saxophone Cello
0381efd3.wav,Double_bass Cello Gong
038397e9.wav,Double_bass Bass_drum Hi-hat
03858091.wav,Bass_drum Knock Double_bass
03888259.wav,Acoustic_guitar Cello Electric_piano
0394e0d4.wav,Hi-hat Violin_or_fiddle Harmonica
03953467.wav,Flute Saxophone Cello
039d36e9.wav,Violin_or_fiddle Cello Clarinet
03ab8828.wav,Gong Snare_drum Microwave_oven
03af84e5.wav,Clarinet Oboe Squeak
03b7faf1.wav,Squeak Telephone Laughter
03c1c5f4.wav,Flute Saxophone Clarinet
03c5bfbb.wav,Tearing Drawer_open_or_close Writing
03d2bdca.wav,Clarinet Cello Saxophone
03d5a89c.wav,Saxophone Clarinet Flute
03e1e393.wav,Acoustic_guitar Tambourine Squeak
03e2ecd9.wav,Acoustic_guitar Electric_piano Knock
03e860b2.wav,Trumpet Oboe Flute
03f2e21f.wav,Cello Double_bass Saxophone
03f39877.wav,Double_bass Bass_drum Cowbell
03fafd5b.wav,Double_bass Gong Cello
03fccc98.wav,Double_bass Bass_drum Hi-hat
0402129f.wav,Drawer_open_or_close Squeak Fart
040258a9.wav,Cello Violin_or_fiddle Squeak
041521b0.wav,Bass_drum Snare_drum Tearing
04154da3.wav,Bass_drum Double_bass Hi-hat
0419676b.wav,Clarinet Saxophone Flute
041983cd.wav,Acoustic_guitar Chime Gong
04199401.wav,Fart Tearing Squeak
041c68ec.wav,Cello Violin_or_fiddle Trumpet
041c7581.wav,Cello Violin_or_fiddle Double_bass
041eed83.wav,Drawer_open_or_close Microwave_oven Squeak
0422b811.wav,Bark Burping_or_eructation Squeak
0448c553.wav,Bass_drum Snare_drum Tearing
